school_name,school_address,school_phone,school_email,tenant_id
"Colégio Estadual José Antônio de Almeida","Santanópolis - BA",,,"TENANT_ID_AQUI"
"Creche Municipal José Tavares Filho","Santanópolis - BA",,,"TENANT_ID_AQUI"
"Escola Municipal Professora Maria Elizabete Oliveira Estrela","Rua Hercília Campos S/Nº, Centro, Santanópolis-BA","(75) 3694-2141","DEEDUCACAOSECRETARIA@YAHOO.COM.BR","TENANT_ID_AQUI"
"Escola Municipal Alexandre Cerqueira","Fazenda Serra do Cruzeiro, Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal Augusto Ribeiro","Fazenda Jurema dos Milagres, Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal Edilson Pereira Cerqueira","Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal Eutrópio Brito","Fazenda Tapera, Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal Guilherme Brito","Fazenda Alecrim, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal José de Lima Valverde","Povoado Rodeador, Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal Lauro de Freitas","Povoado Quilombo, Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal Nossa Senhora do Carmo","Fazenda Sítio de Zaza, Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal Professor João Cícero","Fazenda Murici, Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Municipal Ruy Barbosa","Fazenda Cacimba, Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Grupo Escolar Monteiro Lobato","Praça João Nery, 22, Centro, Santanópolis-BA",,,TENANT_ID_AQUI
"Grupo Escolar Edgar Pereira","Povoado Alto Alegre, Rua Mário Paulo Fern., Zona Rural, Santanópolis-BA",,,TENANT_ID_AQUI
"Escola Pequenos Brilhantes","Rua Irará, 262 Edifício, Centro, Santanópolis-BA",,,TENANT_ID_AQUI
